Transaction_ID,Customer_ID,Transaction_Timestamp,Amount,Merchant_Category,Payment_Method,City,State,Country,Device_Type,Customer_Type,Transaction_Status,Fraud_Flag,Risk_Score,Risk_Level,Risk_Factors,Failed_Attempts_24h,Transactions_Last_10_Min,Card_Network,Merchant_ID,Transaction_Currency,IP_Risk_Category
TXN112763,CUST1013,2026-04-21 10:54:00,15475.95,Jewellery,Credit Card,Thane,MH,India,MacOS,Premium,Approved,No,15,Low,,5,2,Visa,MID1315,INR,Trusted
TXN132104,CUST1345,2026-06-17 13:06:00,873.46,Grocery,Debit Card,Bengaluru,KA,India,MacOS,Regular,Approved,No,14,Low,,3,1,Mastercard,,INR,Blacklisted
TXN127038,CUST7397,2026-08-25 19:05:00,3800.34,,UPI,Nagpur,MH,India,iOS,New,Approved,No,4,Low,,8,2,RuPay,,INR,Trusted
TXN132632,CUST8746,2026-01-29 07:06:00,1125.44,Online Services,Debit Card,Lucknow,UP,India,,Premium,Approved,No,15,Low,New Device,11,2,Mastercard,MID8777,INR, VPN Detected
TXN135169,CUST8955,2026-03-25 01:20:10,1640.44, Education ,debit card,Bengaluru,KA,India,ANDROID,new,PENDING,YES,45,High,Unusual Time; New Device; Velocity Alert; Failed Authentication,13,4,Mastercard,MID1370,INR,trusted
TXN132006,CUST8192,2026-02-14 09:50:00,7276.99,Jewellery,Credit Card,Poona,MH,India,iOS,Regular,Approved,No,1,Low,,9,6,Visa,MID9984,INR,NEW IP
TXN135369,CUST9239,2026-11-03 06:19:22,2330.7, Gaming ,Credit Card,Lucknow,UP,India,android,REGULAR,Blocked,No ,40,Medium,Location Mismatch,11,5,,MID5155,INR,Trusted
TXN142466,CUST2528,2026-12-19 02:17:32,1792.17, Jewellery ,Net Banking,delhi,DL,India,,NEW,BLOCKED,Y,84,Medium,Velocity Alert; Location Mismatch,10,5, Mastercard ,MID5300,INR,Trusted
TXN107724,CUST8176,2026-01-24 22:11:00,9915.18,Gaming,Credit Card,Ahmedabad,GJ,India,Android,New,Approved,No,14,Low,,8,3,Visa,MID5926,INR,NEW IP
TXN127284,CUST7337,2026-04-09 01:43:00,573.34,Grocery,Credit Card,Thane,MH,India,MacOS,New,Approved,No,12,Low,Unusual Time,7,3,amex ,MID5716,INR, VPN Detected
TXN140836,CUST1899,2026-02-22 20:39:03,2717.57,,Wallet,Jaipur,RJ,India, nan ,Premium,Blocked,No,35,Low,,14,1,Mastercard,MID6066,INR, VPN Detected
TXN128565,CUST9714,2026-03-31 08:39:00,6806.94,Grocery,UPI,Hyderabad,TS,India,Android,,Approved,No,14,Low,New Device,8,4, Mastercard ,MID4378,INR,NEW IP
TXN127326,CUST9404,2026-08-13 11:12:00,3380.45,Fuel,UPI,Nashik,MH,India,MacOS,New,Pending,No,5,Low,,4,1,Amex,MID7787,Rs,Unknown
TXN120525,CUST5819,2026-04-11 19:31:00,1867.96,Online Services,Credit Card,Bengaluru,KA,India,IOS,New,Approved,No,13,Low,,9,0,RUPAY,MID5020,INR,Blacklisted
TXN113034,CUST1939,2026-08-17 05:57:00,-518.48,Food & Dining,Debit Card,Kochi,KL,India,Windows,New,Approved,No,1,Low,,8,6,Visa,MID7118,INR,New IP
TXN119520,CUST3979,2026-01-22 23:46:00,672.32,Utilities,Net Banking,Mumbai,MH,India,MacOS,Regular,Approved,No,4,Low,,0,0,RUPAY,MID3351,INR,VPN Detected
TXN110522,CUST2677,2026-08-11 10:54:00,2918.75,Gaming,Net Banking,Pune,MH,India,Android,Premium,Approved,No,6,Low,,8,2,RUPAY,MID6282,INR, VPN Detected
TXN130254,CUST9471,2026-01-15 05:05:00,1384.29,Grocery,Wallet,Ahmedabad,GJ,India,Android,New,Approved,No,6,Low,,7,6,visa,MID3662,INR,trusted
TXN126506,CUST6365,07-06-2026 01:11 PM,9478.59,Food & Dining,Debit Card,Jaipur,RJ,India,Windows,Regular,Approved,No,1,Low,,0,2,amex ,MID1101,INR,Blacklisted
TXN126331,CUST1500,2026-06-11 14:24:00,1881.95,Grocery,UPI,Bengaluru,KA,India,Android,New,Approved,No,2,Low,,8,5,Amex,MID7195,Rs,Blacklisted
TXN110283,CUST5701,2026-07-07 11:25:00,12028.15,Gaming,,Hyderabad,TS,India,MacOS,Regular,Approved,No,14,Low,,3,1,RUPAY,MID8629,INR,Trusted
TXN141710,CUST1859,2026-02-09 17:02:19,2190.59,Gaming,WALLET,Thane,MH,India,MACOS, Premium ,Approved, yes ,38,Critical,Location Mismatch; Failed Authentication,11,6,Amex,MID3866,INR,VPN Detected
TXN123426,CUST4914,2026-08-07 12:54:00,1438.75,Education,Wallet,Chennai,TN,India,iOS,Premium,Approved,No,4,Low,,10,1,Amex,MID7588,INR,New IP
TXN102808,CUST5247,2026-07-13 14:20:00,5937.73,,Debit Card,Lucknow,UP,India,MacOS,Regular,Blocked,Yes,59,Medium,Velocity Alert; Location Mismatch,0,6,,MID7930,INR,New IP
TXN111397,CUST7515,2026-06-06 21:56:00,2584.22,Fuel, Net Banking ,Thane,MH,India,MacOS,Regular,Approved,No,21,Low,Velocity Alert,4,3,Visa,MID8385,INR,VPN Detected
TXN122818,CUST9624,2026-09-15 06:10:00,2839.99,Clothing,Credit Card,Pune,MH,India,iOS,New,Approved,No,42,Medium,New Device,6,6,visa,MID5086,INR, VPN Detected
TXN109136,CUST9883,2026-08-25 00:55:00,2348.31,Grocery,UPI,Kochi,KL,India,Android,Premium,Approved,No,37,Medium,Unusual Time; Velocity Alert,12,4,Mastercard,MID5101,INR,VPN Detected
TXN118773,CUST7305,2026-04-09 21:20:00,40336.99,Food & Dining,UPI,Delhi,DL,India,Windows,Regular,Pending,No,28,Low,Location Mismatch,10,3,RuPay,MID5734,INR,Unknown
TXN126381,CUST3421,2026-07-05 17:38:00,3963.07,Food & Dining,Wallet,Delhi,DL,India,Android,Regular,Approved,No,17,Low,,7,3,,MID5324,INR,Unknown
TXN141973,CUST5815,2026-06-08 23:17:53,5426.77,Online Services,UPI,pune,MH,India, MacOS ,new,DECLINED,Yes,22,Critical,Unusual Time; New Device; Failed Authentication,2,6,visa,MID9155,Rs,New IP
TXN103538,CUST6006,2026-05-11 20:58:00,2444.55,Fuel,Debit Card,Calcutta,WB,India,MacOS,Regular,Approved,No,1,Low,,10,3,Amex,MID9355,INR,NEW IP
TXN114679,CUST5989,2026-04-01 11:20:00,1867.76,Jewellery,Net Banking,Nagpur,MH,India,iOS,Premium,Approved,No,11,Low,,4,1,Visa,MID3432,INR,Blacklisted
TXN126401,CUST8498,31/01/2026 19:03,3235.23,Jewellery,Net Banking,Lucknow,UP,India,MacOS,New,Approved,No,1,Low,,9,6,RuPay,MID1806,INR,NEW IP
TXN116138,CUST9114,2026-03-07 03:05:00,1285.48,Clothing,UPI,Chennai,TN,India,Android,Regular,Approved,No,13,Low,Unusual Time,7,1,RUPAY,MID2611,INR,Unknown
TXN121429,CUST3943,2026-04-29 12:02:00,4522.41,Food & Dining,Debit Card,Pune,MH,India,iOS,Regular,Approved,No,11,Low,,10,1,RUPAY,,INR,Trusted
TXN109640,CUST1081,2026-08-21 09:35:00,4115.36,Food & Dining,Net Banking,Kolkata,WB,India,Windows,Premium,Approved,No,14,Low,,12,4,amex ,MID7645,INR,VPN Detected
TXN114213,CUST6860,2026-04-29 23:14:00,1651.77,Electronics,Debit Card,Gurugram,HR,India,iOS,New,Approved,No,1,Low,,0,2,amex ,MID7911,INR, VPN Detected
TXN127647,CUST5348,2026-01-10 18:22:00,2439.03,Grocery,Wallet,Hyderabad,TS,India,Windows,New,Approved,No,15,Low,,0,4, Mastercard ,MID5262,INR,Unknown
TXN135227,CUST9399,2026-08-25 15:39:53,2778.46, Travel ,NET BANKING,Surat,GJ,India,,REGULAR,approved,No,83,Medium,,13,6,amex ,MID2596,INR,Unknown
TXN105064,CUST4467,04-03-2026 07:36 AM,1158.32,online services,Net Banking,Kochi,KL,India,iOS,New,Approved,Yes,43,Medium,Failed Authentication,0,3,amex ,MID8779,USD,VPN Detected
TXN117044,CUST1789,2026-03-30 20:07:00,439.57,Clothing,Wallet,Hyderabad,TS,India,iOS,Regular,Declined,Yes,25,Low,,10,5,,MID1430,INR ,VPN Detected
TXN108512,CUST2845,2026-03-04 01:56:00,1546.2,Clothing,UPI,Noida,UP,India,iOS,Premium,Approved,No,35,Medium,Unusual Time,0,6,Mastercard,MID6247,INR, VPN Detected
TXN107984,CUST7939,2026-01-14 14:23:00,3588.73,Jewellery,Net Banking,Pune,MH,India,MacOS,Premium,Approved,No,8,Low,,2,3,RUPAY,MID1233,INR,New IP
TXN113782,CUST4697,2026-09-06 05:08:00,1496.71,Grocery,UPI,KOLKATA ,WB,India,Android,Regular,Approved,No,4,Low,,7,0,Amex,MID7853,USD,trusted
TXN127886,CUST8433,2026-09-26 16:44:00,233.87,Travel,Net Banking,Pune,MH,India,iOS,New,Declined,No,2,Low,,5,5,visa,MID4738,INR,New IP
TXN111764,CUST5098,2026-09-20 13:01:00,321.14,Travel,Net Banking,Nagpur,MH,India,Android,REGULAR,Pending,No,10,Low,,8,4, Mastercard ,MID6354,INR,Trusted
TXN116767,CUST3272,2026-06-19 02:20:00,29872.09,Jewellery,Debit Card,Bengaluru,KA,India,Windows,Premium,Approved,No,28,Low,Unusual Time,2,6,Visa,MID4758,INR,Blacklisted
TXN101595,CUST9742,2026-01-17 01:56:00,1266.62,Education,UPI,Kolkata,WB,India,iOS,Premium,Approved,No,30,Low,Unusual Time,5,0,Visa,MID3580,INR,VPN Detected
TXN100062,CUST5249,2026-01-18 02:49:00,5968.49,Electronics,Wallet,Lucknow,UP,India,iOS,Premium,Approved,No,42,Medium,Unusual Time; Failed Authentication,10,4,Visa,MID9949,INR,New IP
TXN116366,CUST9880,2026-03-31 16:03:00,,Gaming,Wallet,Mumbai,MH,India,Android,Premium,Approved,No,15,Low,,3,6,amex ,MID6040,INR, VPN Detected
TXN116647,CUST6180,2026-02-12 22:01:00,4903.61,Healthcare,Debit Card,Lucknow,UP,India,iOS,Regular,Approved,No,5,Low,,1,3,visa,MID6748,INR, VPN Detected
TXN125299,CUST8130,2026-01-01 15:53:00,9039.36,Food & Dining,UPI,Noida,UP,India,Windows,Regular,Blocked,No,21,Low,New Device,4,5,Visa,MID4300,INR,Blacklisted
TXN104672,CUST3501,2026-01-06 04:55:00,1585.08,,Debit Card,Hyderabad,TS,India,Windows,New,Approved,No,11,Low,Unusual Time,9,2,visa,MID2601,inr,trusted
TXN100090,CUST4167,2026-06-18 04:59:00,18621.37,Jewellery,Net Banking,Kochi,KL,India,Android,Regular,Declined,No,8,Low,Unusual Time,6,0,RUPAY,MID5895,INR,New IP
TXN107639,CUST9328,2026-05-28 22:04:00,1237.9,Travel,UPI,Noida,UP,India,Android,Premium,Declined,No,34,Medium,New Device,1,6,amex ,MID2633,INR,Unknown
TXN119868,CUST8104,2026-05-28 17:05:00,659.83,Clothing,UPI,Nashik,MH,India,Windows,New,Blocked,Yes,54,Medium,New Device; Velocity Alert,2,4,amex ,MID4795,INR,Blacklisted
TXN129108,CUST4681,2026-05-21 03:00:00,5228.73,Food & Dining,Debit Card,Chennai,TN,India,Android,Regular,Blocked,No,27,Low,Unusual Time,9,3,Mastercard,MID9753,INR,NEW IP
TXN140985,CUST7342,2026-11-29 08:07:14,889.61,FOOD & DINING,Credit Card,KOLKATA ,WB,India, Android ,PREMIUM, Declined ,Yes,60,Medium,Unusual Time; Location Mismatch; Failed Authentication,0,1,Visa,MID4071,INR,Blacklisted
TXN101907,CUST8673,2026-07-22 20:43:00,3287.93,Online Services,Wallet,Indore,MP,India,MacOS,Regular,Approved,No,1,Low,,1,3, Mastercard ,MID5479,INR,Unknown
TXN116995,CUST3473,2026-03-18 04:50:00,702.17,Utilities,UPI,Nashik,MH,India,Windows,New,Approved,No,22,Low,Unusual Time,7,5,RuPay,MID4135,Rs,New IP
TXN109898,CUST4621,2026-04-23 02:30:00,2927.46,Fuel,Credit Card,Thane,MH,India,Android,Premium,Declined,No,37,Medium,Unusual Time,5,4,Mastercard,MID8926,INR ,NEW IP
TXN110313,CUST9475,2026-01-28 22:38:00,763.82,Online Services,Net Banking,,MH,India,Windows,New,Approved,No,11,Low,,0,4,Visa,MID5538,INR,VPN Detected
TXN105665,CUST8265,2026-08-17 10:48:00,1152.08,Grocery,Wallet,Thane,MH,India,MacOS,Premium,Approved,No,6,Low,,7,3,Visa,MID7238,INR, VPN Detected
TXN138575,CUST1388,2026-02-15 01:52:27,2008.63,Healthcare, Debit Card ,Ahmedabad,GJ,India,ANDROID,PREMIUM,Pending,No ,81,Medium,Velocity Alert,4,0,visa,MID6286,INR,Unknown
TXN129320,CUST8005,2026-07-17 01:52:00,1672.95,Clothing,Credit Card,Noida,UP,India,iOS,New,Approved,No,29,Low,Unusual Time,5,4,RuPay,MID2659,INR,Unknown
TXN142487,CUST9336,2026-08-29 11:43:34,1582.65,ONLINE SERVICES,wallet,Indore,MP,India, Windows , New , Blocked ,Yes,14,High,Unusual Time; New Device,11,3,,MID4479,,trusted
TXN112437,CUST3085,2026-01-22 02:57:00,8019.65,Grocery,Net Banking,Surat,GJ,India,Android,Regular,Declined,No,21,Low,Unusual Time,10,2,RUPAY,MID6171,INR,NEW IP
TXN126497,CUST3126,2026-06-07 13:23:00,2568.06,Food & Dining,Credit Card,Chennai,TN,India,MacOS,Premium,Approved,No,35,Medium,Velocity Alert,1,0,amex ,MID9897,INR,VPN Detected
TXN101184,CUST2854,2026-05-20 14:07:00,6524.74,Fuel,Debit Card,Nagpur,MH,India,Windows,Premium,Approved,No,1,Low,,4,6, Mastercard ,MID1170,INR,Blacklisted
TXN110847,CUST7194,2026-08-14 16:02:00,652.59,Clothing,Credit Card,Mumbai,MH,India,iOS,New,Approved,No,10,Low,,5,6,RuPay,MID1058,INR ,Trusted
TXN105420,CUST5149,2026-06-02 12:53:00,1569.53,Utilities, Net Banking ,Pune,MH,India,MacOS,Regular,Blocked,Yes,56,Medium,Velocity Alert,2,2,RuPay,MID6700,INR,trusted
TXN143495,CUST5270,2026-04-27 00:37:28,221.31,Food  &  Dining,debit card,Nagpur,MH,India,iOS, New , Blocked ,No ,40,Critical,Velocity Alert; Location Mismatch,12,1,Amex,MID7094,INR,Trusted
TXN122483,CUST5311,2026-05-08 07:09:00,840.39,Fuel,Debit Card,Delhi,DL,India,Android,New,Approved,No,31,Medium,Velocity Alert; Failed Authentication,5,0, Mastercard ,MID1089,inr,Blacklisted
TXN122245,CUST6768,2026-05-23 03:17:00,10222.36,Jewellery,Credit Card,Indore,MP,India,Windows,New,Approved,No,18,Low,Unusual Time,12,1, Mastercard ,MID6182,INR,Trusted
TXN113239,CUST4819,2026-05-10 22:00:00,2457.22,Food & Dining,Wallet,Surat,GJ,India,iOS,New,Approved,No,2,Low,,12,2,Mastercard,MID8100,INR,Unknown
TXN120261,CUST3393,2026-08-10 20:20:00,3639.09,Gaming,UPI,Nagpur,MH,India,Android,Premium,Approved,No,2,Low,,11,0,Visa,MID3837,INR,Unknown
TXN110713,CUST3505,2026-04-08 16:08:00,2246.86,Fuel,Wallet,Thane,MH,India,iOS,Regular,Blocked,No,17,Low,Failed Authentication,5,4,visa,MID9206,INR,Unknown
TXN129436,CUST2245,2026-01-19 09:53:00,5338.93,Education,UPI,Bengaluru,KA,India,Windows,Premium,Approved,No,14,Low,,0,4,amex ,MID5446,,Trusted
TXN128627,CUST3957,2026-06-02 12:51:00,2860.11,Electronics,Debit Card,Nashik,MH,India,MacOS,Regular,Declined,No,20,Low,Failed Authentication,0,4,Visa,MID2455,INR, VPN Detected
TXN107388,CUST8114,2026-03-08 11:22:00,2790.87,Jewellery,Debit Card,Surat,GJ,India,MacOS,Regular,Approved,No,1,Low,,2,5, Mastercard ,MID4004,INR,Unknown
TXN119724,CUST9321,2026-04-18 03:52:00,3687.21,Food & Dining,Wallet,Jaipur,RJ,India,iOS,Premium,Pending,No,26,Low,Unusual Time,1,2, Mastercard ,MID3445,INR,NEW IP
TXN104776,CUST8342,2026-05-19 19:31:00,672.87,Gaming,Net Banking,Hyderabad,TS,India,Android,New,Approved,No,15,Low,New Device,11,0,visa,MID9706,INR,Unknown
TXN120435,CUST5866,2026-09-05 17:34:00,3243.48,Jewellery,WALLET,Noida,UP,India,MacOS,Premium,Declined,unknown,1,Low,,2,2,Amex,MID2010,INR,trusted
TXN122247,CUST9800,2026-01-28 14:34:00,2657.89,Fuel,UPI,Noida,UP,India,Android,New,Approved,No,1,Low,,2,4, Mastercard ,MID7996,INR,VPN Detected
TXN110103,CUST9850,2026-03-11 19:24:00,2724.92,clothing,UPI,Ahmedabad,GJ,India,Android,,Approved,No,22,Low,,5,6,amex ,MID7601,INR, VPN Detected
TXN111693,CUST3287,2026-05-31 08:31:00,1086.63,Clothing,UPI,Chennai,TN,India,Windows,New,Approved,No,15,Low,,5,2,amex ,MID4321,USD,Unknown
TXN120666,CUST1927,2026-08-08 09:29:00,3629.9,Electronics,Wallet,Surat,GJ,India,Android,New,Approved,No,1,Low,,2,0,RUPAY,MID4643,INR,Trusted
TXN102464,CUST4697,2026-03-03 05:26:00,1878.31,Gaming,Net Banking,Gurugram,HR,India,Android,Premium,Approved,No,8,Low,,6,3,Amex,MID6424,USD,Unknown
TXN132937,CUST9084,2026-03-30 02:42:00,1418.48,Grocery,Net Banking,Noida,UP,India,Android,Regular,Approved,No,19,Low,Unusual Time,4,2,visa,MID5843,INR,NEW IP
TXN130294,CUST3347,2026-03-23 04:41:00,1819.71,Jewellery,Net Banking,Lucknow,UP,India,Android,Regular,Blocked,Yes,45,Medium,Unusual Time; New Device,10,5,Amex,MID8963,INR,Blacklisted
TXN128008,CUST3955,2026-01-12 20:59:00,746.92,Education,UPI,Kochi,KL,India,Android,Premium,Approved,No,3,Low,,3,4, Mastercard ,MID4351,INR,Trusted
TXN101659,CUST8053,2026-03-11 22:24:00,2235.04,Healthcare,Credit Card,Jaipur,RJ,India,iOS,Premium,Approved,No,18,Low,,7,6,RuPay,MID2829,INR,Trusted
TXN105055,CUST6737,2026-04-06 23:38:00,209.4,Online Services,Net Banking,Delhi,DL,India,MacOS,Premium,Approved,No,27,Low,New Device,7,0,Visa,MID4403,INR ,VPN Detected
TXN129811,CUST7247,2026-08-08 02:15:00,3522.79,Healthcare,Debit Card,Indore,MP,India,iOS,Regular,Approved,No,11,Low,Unusual Time,2,4,visa,MID8045,INR,NEW IP
TXN102676,CUST7040,2026-05-11 12:21:00,3041.08,Travel,Debit Card,Ahmedabad,GJ,India,Android,New,Approved,No,1,Low,,12,5,RUPAY,MID9244,INR,Unknown
TXN111989,CUST2505,2026-09-14 08:03:00,,Fuel,UPI,Bengaluru,KA,India,Windows,Regular,Approved,No,12,Low,,4,3,Amex,MID8082,INR,New IP
TXN130977,CUST3411,2026-05-23 08:05:00,1259.11,Utilities,Debit Card,Lucknow,UP,India,Windows,Regular,Approved,No,18,Low,,12,1,RuPay,MID4041,INR,Unknown
TXN105785,CUST8877,01/02/2026 19:43,8622.91,Food  &  Dining,Debit Card,Noida,UP,India,iOS,Regular,Approved,No,27,Low,New Device,6,3,amex ,MID3675,Rs,NEW IP
TXN126064,CUST3411,2026-04-12 03:50:00,240.27,Grocery,Net Banking,Hyderabad,TS,India,iOS,Premium,APPROVED,No,40,Medium,Unusual Time,12,2, Mastercard ,MID8255,INR,Unknown
TXN102157,CUST2731,2026-03-24 20:12:00,,Food & Dining,Debit Card,Kochi,KL,India,MacOS,Regular,Approved,No,2,Low,,3,4,amex ,MID7536,INR,NEW IP
TXN122299,CUST6233,2026-09-22 17:50:00,9904.19,Fuel,Credit  Card,Nagpur,MH,India,MacOS,Regular,Approved,No,18,Low,,3,0,RuPay,MID9057,INR,Unknown
TXN132732,CUST8927,2026-04-26 03:41:00,1568.93,Online Services,Wallet,Pune,MH,India,MacOS,New,PENDING,No,29,Low,Unusual Time,12,4,visa,MID7524,INR,trusted
TXN142483,CUST7783,2026-08-02 04:50:33,937.74,electronics,Net  Banking,Mumbai,MH,India, iOS ,premium, Pending ,Yes,69,Low,Unusual Time; Location Mismatch; Failed Authentication,12,5,amex ,MID7964,INR,NEW IP
TXN124289,CUST4344,2026-06-28 01:17:00,631.82,Online Services,Wallet,Surat,GJ,India,MacOS,New,Approved,No,43,Medium,Unusual Time; New Device,12,1,visa,MID5819,INR,New IP
TXN135616,CUST5287,2026-02-05 22:36:19,1652.93,NAN,net banking, gurugram,HR,India, Windows , New ,Approved,YES,48,Medium,Unusual Time; New Device; Velocity Alert,4,3,Mastercard,MID2096,INR,Unknown
TXN112243,CUST4216,2026-01-13 03:27:00,14036.51,Education,Net Banking,Nashik,MH,India,iOS,Premium,Approved,No,31,Medium,Unusual Time,6,6,RuPay,MID5749,INR,Blacklisted
TXN128337,CUST2309,2026-08-27 10:34:00,908.52,Food & Dining,Net Banking,Nagpur,MH,India,iOS,Premium,Approved,No,4,Low,,5,2,RUPAY,MID6205,INR, VPN Detected
TXN140947,CUST5291,2026-12-27 20:48:08,764.87,fuel,wallet,GURUGRAM ,HR,India,WINDOWS, Premium ,PENDING,YES,58,Low,High Amount,13,1,Visa,MID6522,INR,Unknown
TXN108957,CUST1690,2026-03-05 09:43:00,2343.37,Healthcare,Wallet,Noida,UP,India,MacOS,New,Approved,No,16,Low,,9,5,Mastercard,MID4002,INR,NEW IP
TXN115621,CUST4709,2026-06-18 23:53:00,3077.1,Gaming,Wallet,Surat,GJ,India,iOS,New,Approved,No,5,Low,,11,0, Mastercard ,MID7994,INR,Trusted
TXN103276,CUST6820,2026-04-07 13:28:00,603.89,Utilities,Wallet,Gurugram,HR,India,Android,Regular,Approved,No,11,Low,,8,2,Visa,MID5115,INR,Unknown
TXN107283,CUST2499,2026-03-05 21:03:00,1037.46,Education,Credit Card,Nashik,MH,India,Windows,Regular,Approved,No,12,Low,,9,4,Mastercard,MID5775,INR,VPN Detected
TXN125059,CUST4022,2026-06-11 00:19:00,3043.2,Gaming,Wallet,Ahmedabad,GJ,India,MacOS,Premium,Blocked,No,42,Medium,Unusual Time; Location Mismatch,7,5,Visa,MID4631,INR, VPN Detected
